no,name,price,type,area,bedrooms,bathrooms,receptions,district,city,postcode
2329,Bournebridge Lane,1825000,House,3918,6,6,6,Stapleford Abbotts,London,RM4 1LT
2330,King Henrys Road,1000000,Flat / Apartment,892,2,2,2,Primrose Hill,London,NW3 3QP
2331,Rutland Gate,1275000,Flat / Apartment,675,2,2,2,,London,SW7 1PD
2332,Ascensis Tower,2250000,Flat / Apartment,1945,3,3,3, Battesea,London,SW18 1AY
2333,Goldings Rise,775000,House,1285,3,3,3,Loughton,London,IG10 2QP
2334,Oakley Square,3750000,House,4847,6,6,6,Camden,London,NW1 1NJ
2335,Liverpool Road,750000,Flat / Apartment,880,2,2,2,Lower Holloway,London,N7 8PG
2336,Jasmine House,500000,Flat / Apartment,680,2,2,2, Battersea,London,SW18 1GJ
2337,Admiral Court,1600000,Flat / Apartment,1282,2,2,2, Chelsea Harbour,London,SW10 0UU
2338,Seward Street,700000,Flat / Apartment,836,2,2,2,Clerkenwell,London,EC1V 3PA
2339,Shirland Road,780000,Flat / Apartment,767,2,2,2,Maida Vale,London,W9 2EQ
2340,Graham Terrace,2750000,House,1782,4,4,4,Belgravia,London,SW1W 8JE
2341,Lexham Gardens,660000,Flat / Apartment,603,1,1,1,,London,W8 6JE
2342,Mandrake Road,1195000,House,1602,5,5,5,,London,SW17 7PT
2343,Inglethorpe Street,1699000,House,1993,5,5,5,Fulham,London,SW6 6NX
2344,Cedarside Apartments,800000,Flat / Apartment,937,2,2,2,3 Albert Road,London,NW6 5FT
2345,Blandfield Road,1250000,House,1450,3,3,3,,London,SW12 8BG
2346,Densham House,800000,Flat / Apartment,945,3,3,3, St. John's Wood,London,NW8 7NT
2347,Gorst Road,2250000,House,2351,5,5,5,,London,SW11 6JE
2348,Horizons Tower,1250000,Flat / Apartment,1203,2,2,2, Canary Wharf,London,E14 9RG
2349,Thirlmere Road,1875000,House,3478,7,7,7,,London,SW16 1QW
2350,Greenford Avenue,1250000,House,2804,5,5,5,Hanwell,London,W7 3QS
2351,Stokenchurch Street,2750000,House,2605,6,6,6, Fulham,London,SW6 3TR
2352,Winfrith Road,550000,Flat / Apartment,896,2,2,2,,London,SW18 3BD
2353,Great Titchfield Street,745000,Flat / Apartment,703,2,2,2,Fitzrovia,London,W1W 6RR
2354,Dorland Court,525000,Flat / Apartment,654,2,2,2, Putney,London,SW15 2UG
2355,Canaletto Tower,1150000,Flat / Apartment,882,2,2,2,257 City Road,London,EC1V 1AE
2356,Macfarlane Road,2500000,House,2861,5,5,5,,London,W12 7JY
2357,Forest Close,799999,House,2156,4,4,4,Waltham Abbey,London,EN9 3QR
2358,Elsworthy Rise,1050000,New development,612,1,1,1,Primrose Hill,London,NW3 3DS
2359,Bickenhall Street,2900000,Penthouse,1455,2,2,2,Marylebone,London,W1U 6BN
2360,Upper Wimpole Street,11950000,House,7226,5,5,5,Marylebone,London,W1G 6LU
2361,Sandown Avenue,3750000,House,5554,6,6,6,Esher,London,KT10 9NT
2362,Leopold Court,850000,Flat / Apartment,1344,2,2,2, Esher,London,KT10 9BW
2363,Streathbourne Road,1975000,House,2910,7,7,7,,London,SW17 8QY
2364,Fairfax Road,2800000,House,2959,5,5,5, Chiswick,London,W4 1EW
2365,Cranley Gardens,1400000,Flat / Apartment,732,2,2,2,South Kensington,London,SW7 3BD
2366,White Hart Lane,725000,Flat / Apartment,1242,2,2,2,Barnes,London,SW13 0PZ
2367,Chenies Mews,2000000,Flat / Apartment,1335,2,2,2,,London,WC1E 6HU
2368,Overstrand Mansions,850000,Flat / Apartment,838,2,2,2,Prince of Wales Drive,London,SW11 4HA
2369,Tottenham Road,255000,Flat / Apartment,440,1,1,1,De Beauvoir,London,N1 4EP
2370,Englewood Road,795000,Flat / Apartment,919,2,2,2,,London,SW12 9NZ
2371,Hollen Street,1500000,New development,843,1,1,1,Soho,London,W1F 8AZ
2372,One Kensington Gardens,5950000,Penthouse,1993,3,3,3,4 De Vere Gardens,London,W8 5AE
2373,Courtnell Street,3250000,House,1813,3,3,3,,London,W2 5BX
2374,Chi Building,550000,Flat / Apartment,893,2,2,2,54 Crowder Street,London,E1 0EZ
2375,Patshull Road,500000,Flat / Apartment,418,1,1,1,Kentish Town,London,NW5 2JY
2376,Ernle Road,2950000,House,3601,6,6,6,Wimbledon,London,SW20 0HJ
2377,Vanderbilt Road,1135000,House,1675,4,4,4, Wandsworth,London,SW18 3BG
2378,Potter Street,775000,House,1469,4,4,4,Northwood,London,HA6 1QH
2379,Freegrove Road,1799500,House,2761,6,6,6,Holloway,London,N7 9RG
2380,Dalston Lane,650000,Flat / Apartment,1018,2,2,2,Hackney,London,E8 1LX
2381,Wild Hatch,2350000,House,2835,4,4,4,Hampstead Garden Suburb,London,NW11 7LD
2382,Earl's Court Square,795000,Flat / Apartment,666,2,2,2,,London,SW5 9DG
2383,Keepier Wharf,1900000,Flat / Apartment,1963,4,4,4, Limehouse,London,E14 8DH
2384,Cambridge Road,1950000,House,1907,5,5,5,Barnes,London,SW13 0PG
2385,Soval Court,950000,Flat / Apartment,1580,3,3,3, Northwood,London,HA6 2FS
2386,Palace Gate,1850000,Flat / Apartment,1332,2,2,2,,London,W8 5LY
2387,Academy Gardens,4950000,New development,2011,2,2,2,Duchess of Bedfords Walk,London,W8 7QQ
2388,Church Street,2685000,House,3873,6,6,6,Hampton,London,TW12 2EG
2389,Nutley Terrace,3995000,House,3480,3,3,3,Hampstead,London,NW3 5BX
2390,St. Edmunds Terrace,6975000,Flat / Apartment,2583,3,3,3,St John's Wood,London,NW8 7ED
2391,Dunstable Mews,2250000,House,1269,2,2,2,Marylebone,London,W1G 6BT
2392,Elm Grove Road,2595000,House,3100,5,5,5,Barnes,London,SW13 0BX
2393,Abbotts Close,650000,Flat / Apartment,767,2,2,2, Islington,London,N1 2HJ
2394,Carmichael Court,685000,Flat / Apartment,783,3,3,3, Barnes,London,SW13 0HA
2395,Pont Street,19450000,Flat / Apartment,4699,5,5,5,,London,SW1X 0AD
2396,Crescent Road,1650000,House,2809,4,4,4,Kingston upon Thames,London,KT2 7RF
2397,Mint Street,600000,Flat / Apartment,1026,3,3,3,Bethnal Green,London,E2 6FX
2398,Amhurst Road,515000,Flat / Apartment,518,1,1,1,Hackney,London,E8 1JH
2399,Calico Apartments,699950,Flat / Apartment,743,2,2,2,18A Varden Street,London,E1 2AR
2400,College Court,750000,Flat / Apartment,1072,4,4,4,Queen Caroline Street,London,W6 9DY
2401,Battersea Park Road,599950,Flat / Apartment,657,2,2,2,Battersea,London,SW11 4ND
2402,Clapham Common North Side,2695000,House,2567,5,5,5,,London,SW4 9SD
2403,Coleherne Mews,3600000,New development,2000,3,3,3,,London,SW10 9DZ
2404,Maine Tower,1050000,New development,1075,3,3,3, Canary Wharf,London,E14 9DQ
2405,Regency Walk,525000,Bungalow,583,2,2,2,Richmond,London,TW10 6AU
2406,Pendant Court,575000,Flat / Apartment,810,2,2,2, Newham,London,E16 2TF
2407,Yvon House,500000,Flat / Apartment,536,1,1,1,Alexandra Avenue,London,SW11 4GA
2408,Norton House,795000,Flat / Apartment,753,2,2,2,Duke of Wellington Avenue,London,SE18 6EY
2409,Coborn Mews,550000,Flat / Apartment,574,2,2,2,Coborn Street,London,E3 2AB
2410,Television Centre,1235000,Flat / Apartment,960,2,2,2,4 Wood Crescent,London,W12 7GP
2411,Montagu Square,2595000,Flat / Apartment,1452,3,3,3,Marylebone,London,W1H 2LW
2412,Beech Drive,2350000,House,5303,5,5,5, Tadworth,London,KT20 6PP
2413,Church Path,900000,House,1467,3,3,3,Bollo Bridge Road,London,W3 8AY
2414,Blurton Road,1275000,House,1730,3,3,3,,London,E5 0NH
2415,Prince Albert Court,2700000,Flat / Apartment,1665,3,3,3,33 Prince Albert Road,London,NW8 7LU
2416,Apex House,650000,Flat / Apartment,798,3,3,3, Brick Lane,London,E1 6LF
2417,Gowrie Road,475000,Flat / Apartment,425,1,1,1,,London,SW11 5NR
2418,Landor Road,450000,Flat / Apartment,647,1,1,1,,London,SW9 9PH
2419,Queensland Road,550000,New development,728,2,2,2,Highbury,London,N7 7EZ
2420,Sigdon Road,1150000,House,1398,3,3,3,Hackney,London,E8 1AP
2421,Weston Road,595000,Flat / Apartment,702,2,2,2,Chiswick,London,W4 5NH
2422,Princes Gate,7500000,Flat / Apartment,2290,3,3,3,,London,SW7 1QJ
2423,Westover Hill,4850000,House,5613,5,5,5,Hampstead,London,NW3 7UH
2424,Rusholme Road,3195000,House,4923,6,6,6,Putney,London,SW15 3JX
2425,Ardwick Road,795000,New development,925,2,2,2,Fortune Green,London,NW2 2BX
2426,Sudbrook Lane,3100000,House,3080,5,5,5,Richmond,London,TW10 7AY
2427,Cedars Mews,2295000,House,2454,4,4,4,,London,SW4 0QD
2428,Endlesham Road,2800000,House,2872,5,5,5,,London,SW12 8JL
2429,Kingswood Road,1450000,House,2147,3,3,3,,London,SW19 3ND
2430,Althorp Road,2950000,New development,3336,6,6,6,,London,SW17 7ED
2431,Homestead Road,625000,Flat / Apartment,537,2,2,2,Fulham,London,SW6 7DB
2432,Chaucer Road,1000000,House,1502,3,3,3,,London,W3 6DP
2433,Eltham Court,575000,New development,800,2,2,2, West Ealing,London,W13 8RA
2434,High Street,1095000,House,1885,4,4,4,Esher,London,KT10 9QA
2435,Moira Court,425000,Flat / Apartment,590,2,2,2,Balham High Road,London,SW17 7AQ
2436,Hannaford Walk,349995,Flat / Apartment,486,1,1,1,,London,E3 3TF
2437,Purcell Mansions,1100000,Flat / Apartment,1335,3,3,3, Barons Court,London,W14 9TP
2438,Godolphin Road,1800000,House,2366,4,4,4,,London,W12 8JN
2439,Poplar Grove,1050000,Flat / Apartment,958,2,2,2,,London,W6 7RF
2440,Fulham Park Gardens,1600000,Flat / Apartment,1763,4,4,4,Fulham,London,SW6 4JZ
2441,Lonsdale Road,4500000,House,3908,6,6,6,Barnes,London,SW13 9JS
2442,Grosvenor Gardens,1095000,House,1838,4,4,4,Woodford Green,London,IG8 0AR
2443,Dolben Court,1200000,Flat / Apartment,1083,2,2,2,Montaigne Close,London,SW1P 4BB
2444,Kingston House South,2495000,Flat / Apartment,1753,3,3,3,Ennismore Gardens,London,SW7 1NF
2445,Cabul Road,1275000,House,1750,4,4,4,Battersea,London,SW11 2PN
2446,Dalmeny Court,1500000,Flat / Apartment,798,2,2,2, St. James's,London,SW1Y 6BL
2447,Shirland Road,600000,Flat / Apartment,630,2,2,2,Maida Vale,London,W9 2EL
2448,Randolph Avenue,1100000,Flat / Apartment,908,2,2,2,,London,W9 1PF
2449,Grand Drive,575000,House,971,3,3,3,Raynes Park,London,SW20 9DG
2450,Mandalay Road,925000,Flat / Apartment,893,2,2,2,Clapham,London,SW4 9EE
2451,Manor Road,1495000,House,2433,4,4,4, Loughton,London,IG10 4AD
2452,Southwell Gardens,4750000,Flat / Apartment,2500,3,3,3,,London,SW7 4SB
2453,Napier Road,2000000,House,2189,3,3,3,,London,W14 8LQ
2454,Battersea Bridge Road,799950,Flat / Apartment,1040,2,2,2,,London,SW11 3AS
2455,Fielding Road,1300000,House,1347,3,3,3,Chiswick,London,W4 1DB
2456,Schubert Road,1100000,Flat / Apartment,2043,4,4,4,Putney,London,SW15 2QS
2457,Great Eastern Street,1200000,Flat / Apartment,890,1,1,1,,London,EC2A 3EP
2458,Nottingham Place,9250000,House,5139,4,4,4,,London,W1U 5LU
2459,Rivermead,1499000,House,3238,5,5,5,East Molesey,London,KT8 9AZ
2460,The Heights,475000,Flat / Apartment,977,3,3,3, Watford,London,WD19 4PU
2461,Mallinson Road,925000,Flat / Apartment,944,2,2,2,,London,SW11 1BP
2462,Addisland Court,1450000,Flat / Apartment,961,2,2,2,Holland Villas Road,London,W14 8DA
2463,Fitzgerald Road,1995000,House,3443,5,5,5,Thames Ditton,London,KT7 0TU
2464,Ashburn Gardens,2195000,Flat / Apartment,1623,3,3,3,,London,SW7 4DG
2465,Bazalgette Court,550000,Flat / Apartment,797,2,2,2,Great West Road,London,W6 9AG
2466,Waldemar Avenue,1950000,House,2054,5,5,5,Bishops Park,London,SW6 5LU
2467,Deodar Road,1375000,House,1360,3,3,3,Putney,London,SW15 2NJ
2468,Thirsk Road,799999,Flat / Apartment,1090,2,2,2,,London,SW11 5SU
2469,Boyd Building,440000,Flat / Apartment,847,2,2,2,10 Frobisher Yard,London,E16 2GY
2470,Nottingham Place,3500000,Flat / Apartment,1956,3,3,3,Marylebone,London,W1U 5NH
2471,Craig Tower,475000,Flat / Apartment,895,2,2,2, Bow,London,E3 4EF
2472,Cavendish Road,825000,Flat / Apartment,1312,3,3,3,Brondesbury,London,NW6 7XP
2473,Meadowbank,3500000,House,2956,5,5,5,Primrose Hill,London,NW3 3AY
2474,Hillbrow,950000,Flat / Apartment,1239,3,3,3,,London,TW10 6BH
2475,Draycott Place,2750000,Flat / Apartment,1474,3,3,3,,London,SW3 2SB
2476,Mogul Building,625000,Flat / Apartment,928,2,2,2, Stratford,London,E15 1FY
2477,Boat Race House,1295000,New development,1487,2,2,2,63 Mortlake High Street,London,SW14 8HL
2478,West Hill Road,2950000,House,2995,5,5,5,Putney,London,SW18 1LE
2479,Porchester Road,899995,Flat / Apartment,834,2,2,2,Notting Hill,London,W2 5DP
2480,Alvington Crescent,1300000,House,1907,4,4,4,Hackney,London,E8 2NW
2481,Elizabeth Mews,1495000,House,1020,2,2,2,Belsize Park,London,NW3 4UH
2482,Keble Place,795000,Flat / Apartment,922,2,2,2,Barnes,London,SW13 8HL
2483,Chiswick Quay,1450000,House,2106,4,4,4,Chiswick,London,W4 3UR
2484,Sugden Road,795000,Flat / Apartment,860,2,2,2,,London,SW11 5ED
2485,Barmouth Road,765000,Flat / Apartment,993,2,2,2,Wandsworth,London,SW18 2DT
2486,Vicarage Drive,2150000,House,2309,5,5,5,,London,SW14 8RX
2487,Ivory House,825000,Flat / Apartment,616,1,1,1,East Smithfield,London,E1W 1AT
2488,Pond Place,9500000,House,4277,4,4,4,,London,SW3 6QJ
2489,Knivet Road,1575000,House,1703,4,4,4, Fulham,London,SW6 1JJ
2490,Paget Place,1575000,House,2514,4,4,4,Kingston upon Thames,London,KT2 7HZ
2491,Wandsworth Road,1350000,House,1900,4,4,4,,London,SW8 3JF
2492,Hans Crescent,2050000,Flat / Apartment,1003,2,2,2,,London,SW1X 0LJ
2493,Beaufort Gardens,1999950,Flat / Apartment,802,2,2,2,,London,SW3 1PS
2494,Pond Street,875000,Flat / Apartment,943,2,2,2,Hampstead,London,NW3 2PS
2495,Glenburnie Road,1275000,House,1445,3,3,3,,London,SW17 7NE
2496,Barrowgate Road,2850000,House,2833,5,5,5,Chiswick,London,W4 4QU
2497,Bath Road,3500000,House,3775,7,7,7,Bedford Park,London,W4 1LJ
2498,Stanlake Road,1875000,House,2618,5,5,5,,London,W12 7HG
2499,Bridge Street,2100000,House,2139,5,5,5,Chiswick,London,W4 5UF
2500,Abbey Lodge,3750000,Flat / Apartment,2315,4,4,4, St John's Wood,London,NW8 7RJ
2501,Blomfield Road,2450000,Flat / Apartment,1289,2,2,2,Little Venice,London,W9 2PD
2502,Arena Tower,498000,Flat / Apartment,554,1,1,1, Canary Wharf,London,E14 9TA
2503,Oxborough House,590000,Flat / Apartment,795,2,2,2,33 Eltringham Street,London,SW18 1GS
2504,Clerkenwell Road,900000,Flat / Apartment,756,2,2,2,,London,EC1M 5PY
2505,Cranley Gardens,1195000,Flat / Apartment,850,1,1,1,,London,SW7 3DD
2506,Courtfield Gardens,2195000,Flat / Apartment,1268,2,2,2,,London,SW5 0PD
2507,Bassein Park Road,2400000,House,3029,6,6,6,,London,W12 9RZ
2508,Park Mansions,850000,Flat / Apartment,975,3,3,3, Battersea,London,SW11 4HQ
2509,Palace Road,4250000,House,6632,7,7,7,East Molesey,London,KT8 9DN
2510,Manor House,1025000,Flat / Apartment,1070,3,3,3, Marylebone,London,NW1 5NP
2511,Balcombe Street,520000,Flat / Apartment,411,1,1,1,Marylebone,London,NW1 6HD
2512,Charlwood Road,1950000,House,2158,3,3,3,Putney,London,SW15 1PW
2513,Corinthia Residences,8950000,New development,2956,3,3,3,10 Whitehall Place,London,SW1A 2BD
2514,Crane Grove,799950,House,686,2,2,2,,London,N7 8LE
2515,Lansdowne Drive,1295000,House,1364,3,3,3,Hackney,London,E8 3ER
2516,Winterdown Road,775000,House,1149,2,2,2,Esher,London,KT10 8LJ
2517,Dartmouth Terrace,410000,Flat / Apartment,547,1,1,1,Blackheath,London,SE10 8AX
2518,Embassy Works,625000,Flat / Apartment,541,1,1,1,10-12 Lawn Lane,London,SW8 1UD
2519,Dance Square,650000,Flat / Apartment,571,1,1,1,,London,EC1V 3AN
2520,Beacon Tower,595000,Flat / Apartment,735,2,2,2,1 Spectrum Way,London,SW18 4GL
2521,Tamarind Court,2650000,New development,1191,2,2,2,Stone Hall Gardens,London,W8 5UP
2522,Wandsworth Common West Side,2500000,House,2882,6,6,6,Wandsworth,London,SW18 2ED
2523,Queenstown Road,950000,House,1661,4,4,4,Battersea,London,SW8 3QD
2524,Fladgate House,820000,New development,797,1,1,1,,London,SW11 8EU
2525,Heath Rise,1225000,Flat / Apartment,2056,3,3,3, Putney,London,SW15 3HF
2526,Pembridge Villas,1795000,Flat / Apartment,1118,2,2,2,Notting Hill,London,W11 3EL
2527,The Woodlands,1000000,House,1666,3,3,3,Esher,London,KT10 8DD
2528,Holroyd Road,2295000,House,2899,4,4,4,Putney,London,SW15 6LN
2529,Campden Hill Court,5000000,Flat / Apartment,2248,4,4,4,Campden Hill Road,London,W8 7HX
2530,Campion Road,2895000,House,3414,6,6,6,Putney,London,SW15 6NN
2531,Rutland Gate,1000000,Flat / Apartment,728,2,2,2,,London,SW7 1BH
2532,Highbury New Park,625000,Flat / Apartment,825,2,2,2,,London,N5 2DJ
2533,Freeland Road,3000000,House,4088,6,6,6,Ealing,London,W5 3HR
2534,Edge Hill,3950000,New development,4438,5,5,5,Wimbledon,London,SW19 4NP
2535,Gorst Road,2999000,House,3295,6,6,6,,London,SW11 6JE
2536,Gloucester Street,965000,Flat / Apartment,925,2,2,2,Pimlico,London,SW1V 2DB
2537,Byfeld Gardens,2000000,House,2127,4,4,4,Barnes,London,SW13 9HP
2538,Montagu Mews West,5000000,House,2332,4,4,4,,London,W1H 2EE
2539,Marryat Place,3450000,New development,3802,5,5,5,Wimbledon,London,SW19 5BL
2540,Callow Street,895000,Flat / Apartment,555,1,1,1,,London,SW3 6BJ
2541,Oxshott,5000000,House,7879,6,6,6,,London,KT22 0QB
2542,Stanley Grove,1095000,House,1256,4,4,4,,London,SW8 3PB
2543,West Eaton Place Mews,5650000,House,2753,4,4,4,Belgravia,London,SW1X 8LY
2544,Foyle Road,2820000,New development,3900,5,5,5,Blackheath,London,SE3 7RH
2545,Worple Avenue,2250000,House,2835,5,5,5,Wimbledon,London,SW19 4JQ
2546,Speldhurst Road,1450000,House,1667,4,4,4,South Hackney,London,E9 7EH
2547,City Road,700000,Flat / Apartment,997,2,2,2,,London,EC1V 2NR
2548,Exchange Building,1850000,Penthouse,1836,2,2,2, Spitalfields,London,E1 6NQ
2549,Doughty Street,3000000,House,3325,7,7,7,Bloomsbury,London,WC1N 2AA
2550,Boundaries Road,1525000,House,2232,5,5,5,,London,SW12 8HG
2551,Hatton Wall,1350000,Penthouse,1117,2,2,2,Clerkenwell,London,EC1N 8JJ
2552,Dallington Street,625000,Flat / Apartment,636,1,1,1,Clerkenwell,London,EC1V 0DB
2553,Marville Road,1650000,House,1576,4,4,4,Fulham,London,SW6 7BB
2554,Inverness Street,450000,Flat / Apartment,500,1,1,1,Camden,London,NW1 7HB
2555,Telford Terrace,1625000,House,1372,4,4,4,,London,SW1V 3AE
2556,The Drive,1000000,House,1528,4,4,4,,London,HA6 1HW
2557,Rosebery Avenue,850000,Flat / Apartment,848,2,2,2,Clerkenwell,London,EC1R 4UL
2558,Spencer Road,2495000,House,3609,6,6,6,,London,TW2 5TH
2559,Chiswick Quay,2250000,House,2469,4,4,4,,London,W4 3UR
2560,Hamilton Terrace,3950000,House,2803,5,5,5,St. John's Wood,London,NW8 9UG
2561,Surrey Square,1750000,House,2396,5,5,5,,London,SE17 2JX
2562,Newcastle House,1195000,Flat / Apartment,678,1,1,1, Marylebone,London,W1U 5BR
2563,Magdalen Road,650000,Flat / Apartment,1077,2,2,2,Wandsworth,London,SW18 3NY
2564,Perrymead Street,3000000,House,3027,5,5,5, Parsons Green,London,SW6 3SN
2565,Ceram Court,550000,Flat / Apartment,960,2,2,2, Bow,London,E3 3GW
2566,Bristol House,1000000,Flat / Apartment,659,1,1,1,67 Lower Sloane Street,London,SW1W 8DD
2567,Park Square East,9950000,House,4876,6,6,6,Regent's Park,London,NW1 4LH
2568,Chelsea Square,11950000,House,4785,5,5,5,,London,SW3 6LH
2569,Trefoil Road,1500000,House,2123,5,5,5,Wandsworth,London,SW18 2EQ
2570,Leathwaite Road,599999,Flat / Apartment,665,2,2,2,,London,SW11 1XG
2571,Nevern Square,995000,Flat / Apartment,1021,2,2,2,,London,SW5 9NN
2572,Plender Street,525000,Flat / Apartment,565,1,1,1,Camden,London,NW1 0LB
2573,Ebury Street,2395000,Flat / Apartment,1190,3,3,3,,London,SW1W 0PA
2574,Abingdon Court,2100000,Flat / Apartment,1367,3,3,3, Kensington,London,W8 6BS
2575,Geraldine Road,800000,Flat / Apartment,1044,2,2,2,Wandsworth,London,SW18 2NT
2576,Glenalmond House,885000,Flat / Apartment,1113,3,3,3, Putney,London,SW15 3LP
2577,Howards Lane,2395000,House,2881,5,5,5,Putney,London,SW15 6NZ
2578,Maitland Court,1680000,Flat / Apartment,1502,3,3,3, Paddington,London,W2 3PD
2579,Thornton Avenue,2000000,House,2178,4,4,4,Chiswick,London,W4 1QF
2580,Corney Reach Way,1175000,House,1752,3,3,3,Chiswick,London,W4 2TY
2581,Fulham Park Gardens,2350000,House,2720,6,6,6,Fulham,London,SW6 4JX
2582,Bute Avenue,4200000,House,4591,6,6,6,Richmond,London,TW10 7AX
2583,Chepstow Road,1550000,Flat / Apartment,1227,2,2,2,Notting Hill,London,W2 5BH
2584,St. Dionis Road,2500000,House,2314,4,4,4, Fulham,London,SW6 4TT
2585,Weststand Apartments,695000,Flat / Apartment,871,2,2,2,Highbury Stadium Square,London,N5 1FH
2586,Harefield,775000,House,1368,3,3,3,Esher,London,KT10 9TG
2587,Philbeach Gardens,4950000,House,4622,6,6,6,,London,SW5 9EB
2588,Philbeach Gardens,1795000,Flat / Apartment,1402,4,4,4,,London,SW5 9DY
2589,Wandsworth Common West Side,2550000,House,2665,5,5,5,Wandsworth,London,SW18 2ED
2590,Oyster Wharf,565000,Flat / Apartment,711,2,2,2, Battersea,London,SW11 3RJ
2591,Block A,2500000,Flat / Apartment,1950,3,3,3,50 Holland Street,London,SE1 9FU
2592,East Hill,885000,Flat / Apartment,920,2,2,2,Wandsworth,London,SW18 2HG
2593,Sefton Street,399950,New development,362,1,1,1,Putney,London,SW15 1NA
2594,Darwin Court,895000,Flat / Apartment,1013,2,2,2, Primrose Hill,London,NW1 7BQ
2595,North Side Wandsworth Common,550000,Flat / Apartment,654,2,2,2,,London,SW18 2SL
2596,Airedale Road,1450000,House,2270,4,4,4,,London,SW12 8SF
2597,Television Centre,1160000,New development,861,2,2,2,101 Wood Lane,London,W12 7FT
2598,Atrium Apartments,2500000,Flat / Apartment,1227,2,2,2, St John's Wood,London,NW8 7EA
2599,Ennismore Gardens,1575000,Flat / Apartment,699,1,1,1,,London,SW7 1NP
2600,Langdon Park Road,2500000,House,3613,7,7,7,Highgate,London,N6 5QG
2601,Draycott Place,1150000,Flat / Apartment,682,1,1,1,,London,SW3 2SB
2602,Fassett Square,1450000,House,1727,4,4,4,,London,E8 1DQ
2603,Cadogan Lane,2650000,House,1304,2,2,2,,London,SW1X 9DX
2604,Birkbeck Road,1175000,House,1601,4,4,4,Wimbledon,London,SW19 8NZ
2605,Loddiges Road,360000,Flat / Apartment,630,2,2,2,South Hackney,London,E9 7PJ
2606,Linnet Court,670000,Flat / Apartment,920,2,2,2, Putney,London,SW15 6RJ
2607,Thornton Place,799500,Flat / Apartment,898,2,2,2,,London,SW4 0AB
2608,Hartismere Road,1250000,House,1828,4,4,4,Fulham,London,SW6 7UE
2609,Ayr Court,350000,Flat / Apartment,422,1,1,1,Monks Drive,London,W3 0EA
2610,Kings Drive,895000,House,1579,4,4,4,Thames Ditton,London,KT7 0TH
2611,Fee Farm Road,1500000,House,2122,5,5,5, Esher,London,KT10 0JX
2612,Trevor Square,4250000,House,1978,4,4,4,Knightsbridge,London,SW7 1DY
2613,Porteus Place,1225000,Flat / Apartment,1262,3,3,3,,London,SW4 0AS
2614,Newark Street,1150000,House,1447,4,4,4,,London,E1 2AA
2615,Queen Anne's Gate,14850000,House,7800,6,6,6,,London,SW1H 9AA
2616,Larkhall Rise,2250000,House,2422,5,5,5,,London,SW4 6LB
2617,Gore Road,405000,Flat / Apartment,376,1,1,1,South Hackney,London,E9 7HR
2618,Eleven Acre Rise,2750000,House,5310,5,5,5,Loughton,London,IG10 1AN
2619,Southgate Road,1695000,House,2160,4,4,4,Islington,London,N1 3HX
2620,Cross Street,850000,Flat / Apartment,770,2,2,2,Islington,London,N1 2BA
2621,Television Centre,1295000,Flat / Apartment,924,2,2,2,101 Wood Lane,London,W12 7FT
2622,80 Rainville Road,2750000,Flat / Apartment,1765,3,3,3,Hammersmith,London,W6 9HS
2623,The Tower,2750000,Flat / Apartment,1539,3,3,3, Vauxhall,London,SW8 2DA
2624,Maddox Street,1500000,Flat / Apartment,638,1,1,1,,London,W1S 2QJ
2625,City Road,599950,Flat / Apartment,495,1,1,1,Clerkenwell,London,EC1V 2PY
2626,Mulberry Court,1100000,Flat / Apartment,1461,3,3,3,1 School Mews,London,E1 0EW
2627,Eton Avenue,4750000,House,2890,5,5,5,Belsize Park,London,NW3 3HL
2628,Castelnau,2500000,House,3053,5,5,5,Barnes,London,SW13 9EW
2629,Richard Burbidge Mansions,1250000,Flat / Apartment,1281,2,2,2,1 Brasenose Drive,London,SW13 8RB
2630,Boat Race House,1650000,New development,1887,2,2,2,63 Mortlake High Street,London,SW14 8HL
2631,Cathcart Road,6250000,House,3215,5,5,5,Chelsea,London,SW10 9NN
2632,London House,5295000,Penthouse,2807,4,4,4, St John's Wood,London,NW8 7PX
2633,Hasker Street,3500000,House,1481,3,3,3,,London,SW3 2LQ
2634,Ovington Square,14500000,House,7156,6,6,6,,London,SW3 1LJ
2635,Somerset Square,4250000,House,2631,2,2,2,,London,W14 8EE
2636,Lanherne House,699950,Flat / Apartment,1087,3,3,3,9 The Downs,London,SW20 8JG
2637,Craven Hill Gardens,1100000,Flat / Apartment,718,1,1,1,,London,W2 3EA
2638,Studdridge Street,3100000,House,2885,6,6,6, Fulham,London,SW6 3SL
2639,Spinnaker House,700000,Flat / Apartment,990,2,2,2, Battersea,London,SW18 1FR
2640,Artillery Mansions,1600000,Flat / Apartment,1078,2,2,2, Westminster,London,SW1H 0HX
2641,Huntingfield Road,625000,House,899,2,2,2,Putney,London,SW15 5ER
2642,Briary Close,1895000,House,1975,5,5,5,Swiss Cottage,London,NW3 3JZ
2643,Ladbroke Grove,485000,Flat / Apartment,454,1,1,1,Notting Hill,London,W11 1PG
2644,Layer Gardens,2150000,House,2887,6,6,6,Ealing,London,W3 9PR
2645,Sindercombe Mews,1200000,House,1358,2,2,2,,London,W12 9BQ
2646,Faraday Lodge,565000,Flat / Apartment,895,2,2,2, Greenwich,London,SE10 0QL
2647,Broomwood Road,600000,Flat / Apartment,736,3,3,3,,London,SW11 6JF
2648,Boat Race House,1850000,New development,1978,3,3,3,63 Mortlake High Street,London,SW14 8HL
